year,company_size,establish_year,new,death,net_growth,cumulative,new_pct,death_pct,net_growth_pct,cumulative_pct
2000,微型,2000,430,1,429,1610.0,41.7,50.0,41.7,35.9
2000,小型,2000,395,1,394,1723.0,38.3,50.0,38.3,38.5
2000,中型,2000,129,0,129,678.0,12.5,0.0,12.5,15.1
2000,大型,2000,76,0,76,468.0,7.4,0.0,7.4,10.4
2001,微型,2001,609,1,608,2218.0,44.4,25.0,44.5,37.9
2001,小型,2001,521,3,518,2241.0,38.0,75.0,37.9,38.3
2001,中型,2001,161,0,161,839.0,11.7,0.0,11.8,14.4
2001,大型,2001,80,0,80,548.0,5.8,0.0,5.9,9.4
2002,微型,2002,755,2,753,2971.0,45.2,66.7,45.2,39.6
2002,小型,2002,635,1,634,2875.0,38.0,33.3,38.1,38.3
2002,中型,2002,181,0,181,1020.0,10.8,0.0,10.9,13.6
2002,大型,2002,98,0,98,646.0,5.9,0.0,5.9,8.6
2003,微型,2003,1084,0,1084,4055.0,49.2,0.0,49.3,41.8
2003,小型,2003,778,3,775,3650.0,35.3,75.0,35.3,37.6
2003,中型,2003,235,0,235,1255.0,10.7,0.0,10.7,12.9
2003,大型,2003,105,1,104,750.0,4.8,25.0,4.7,7.7
2004,微型,2004,1310,1,1309,5364.0,52.2,25.0,52.3,43.9
2004,小型,2004,837,2,835,4485.0,33.4,50.0,33.3,36.7
2004,中型,2004,241,1,240,1495.0,9.6,25.0,9.6,12.2
2004,大型,2004,121,0,121,871.0,4.8,0.0,4.8,7.1
2005,微型,2005,1455,2,1453,6817.0,53.4,33.3,53.5,45.7
2005,小型,2005,913,3,910,5395.0,33.5,50.0,33.5,36.1
2005,中型,2005,252,1,251,1746.0,9.3,16.7,9.2,11.7
2005,大型,2005,104,0,104,975.0,3.8,0.0,3.8,6.5
2006,微型,2006,1717,1,1716,8533.0,53.7,20.0,53.8,47.1
2006,小型,2006,1060,4,1056,6451.0,33.2,80.0,33.1,35.6
2006,中型,2006,278,0,278,2024.0,8.7,0.0,8.7,11.2
2006,大型,2006,140,0,140,1115.0,4.4,0.0,4.4,6.2
2007,微型,2007,1974,1,1973,10506.0,55.8,33.3,55.8,48.5
2007,小型,2007,1134,1,1133,7584.0,32.1,33.3,32.1,35.0
2007,中型,2007,272,1,271,2295.0,7.7,33.3,7.7,10.6
2007,大型,2007,156,0,156,1271.0,4.4,0.0,4.4,5.9
2008,微型,2008,2299,2,2297,12803.0,58.4,20.0,58.5,50.1
2008,小型,2008,1185,7,1178,8762.0,30.1,70.0,30.0,34.3
2008,中型,2008,312,1,311,2606.0,7.9,10.0,7.9,10.2
2008,大型,2008,138,0,138,1409.0,3.5,0.0,3.5,5.5
2009,微型,2009,3166,1,3165,15968.0,59.6,25.0,59.6,51.7
2009,小型,2009,1579,2,1577,10339.0,29.7,50.0,29.7,33.5
2009,中型,2009,394,0,394,3000.0,7.4,0.0,7.4,9.7
2009,大型,2009,174,1,173,1582.0,3.3,25.0,3.3,5.1
2010,微型,2010,4020,0,4020,19988.0,60.5,0.0,60.6,53.3
2010,小型,2010,1906,4,1902,12241.0,28.7,100.0,28.7,32.6
2010,中型,2010,499,0,499,3499.0,7.5,0.0,7.5,9.3
2010,大型,2010,217,0,217,1799.0,3.3,0.0,3.3,4.8
2011,微型,2011,4862,1,4861,24849.0,60.9,20.0,60.9,54.6
2011,小型,2011,2254,3,2251,14492.0,28.2,60.0,28.2,31.8
2011,中型,2011,636,0,636,4135.0,8.0,0.0,8.0,9.1
2011,大型,2011,235,1,234,2033.0,2.9,20.0,2.9,4.5
2012,微型,2012,5486,0,5486,30335.0,62.8,0.0,62.8,55.9
2012,小型,2012,2393,2,2391,16883.0,27.4,100.0,27.4,31.1
2012,中型,2012,621,0,621,4756.0,7.1,0.0,7.1,8.8
2012,大型,2012,232,0,232,2265.0,2.7,0.0,2.7,4.2
2013,微型,2013,7482,0,7482,37817.0,62.9,0.0,62.9,57.2
2013,小型,2013,3161,2,3159,20042.0,26.6,50.0,26.6,30.3
2013,中型,2013,935,2,933,5689.0,7.9,50.0,7.8,8.6
2013,大型,2013,318,0,318,2583.0,2.7,0.0,2.7,3.9
2014,微型,2014,13694,1,13693,51510.0,63.6,25.0,63.6,58.8
2014,小型,2014,5451,2,5449,25491.0,25.3,50.0,25.3,29.1
2014,中型,2014,1786,1,1785,7474.0,8.3,25.0,8.3,8.5
2014,大型,2014,591,0,591,3174.0,2.7,0.0,2.7,3.6
2015,微型,2015,16007,4,16003,67513.0,60.3,20.0,60.4,59.1
2015,小型,2015,7022,5,7017,32508.0,26.5,25.0,26.5,28.5
2015,中型,2015,2716,7,2709,10183.0,10.2,35.0,10.2,8.9
2015,大型,2015,780,4,776,3950.0,2.9,20.0,2.9,3.5
2016,微型,2016,19635,9,19626,87139.0,58.8,18.4,58.8,59.1
2016,小型,2016,8927,18,8909,41417.0,26.7,36.7,26.7,28.1
2016,中型,2016,3776,20,3756,13939.0,11.3,40.8,11.3,9.4
2016,大型,2016,1073,2,1071,5021.0,3.2,4.1,3.2,3.4
2017,微型,2017,23638,42,23596,110735.0,56.1,17.4,56.3,58.5
2017,小型,2017,11655,98,11557,52974.0,27.7,40.7,27.6,28.0
2017,中型,2017,5242,70,5172,19111.0,12.4,29.0,12.3,10.1
2017,大型,2017,1587,31,1556,6577.0,3.8,12.9,3.7,3.5
2018,微型,2018,29780,261,29519,140254.0,52.1,18.0,53.0,57.2
2018,小型,2018,16882,646,16236,69210.0,29.5,44.6,29.1,28.2
2018,中型,2018,8058,405,7653,26764.0,14.1,28.0,13.7,10.9
2018,大型,2018,2460,137,2323,8900.0,4.3,9.5,4.2,3.6
2019,微型,2019,37716,786,36930,177184.0,47.7,18.0,49.5,55.4
2019,小型,2019,25591,1941,23650,92860.0,32.4,44.4,31.7,29.0
2019,中型,2019,12331,1278,11053,37817.0,15.6,29.3,14.8,11.8
2019,大型,2019,3384,364,3020,11920.0,4.3,8.3,4.0,3.7
2020,微型,2020,73732,2321,71411,248595.0,40.4,18.5,42.0,50.8
2020,小型,2020,67592,6335,61257,154117.0,37.0,50.5,36.0,31.5
2020,中型,2020,32944,3136,29808,67625.0,18.1,25.0,17.5,13.8
2020,大型,2020,8239,754,7485,19405.0,4.5,6.0,4.4,4.0
2021,微型,2021,115364,7257,108107,356702.0,36.1,19.2,38.4,46.2
2021,小型,2021,138974,21536,117438,271555.0,43.5,57.0,41.7,35.2
2021,中型,2021,53343,7192,46151,113776.0,16.7,19.0,16.4,14.7
2021,大型,2021,11843,1811,10032,29437.0,3.7,4.8,3.6,3.8
2022,微型,2022,117885,13797,104088,460790.0,32.4,22.7,34.4,42.9
2022,小型,2022,168229,32022,136207,407762.0,46.3,52.8,45.0,38.0
2022,中型,2022,64754,12561,52193,165969.0,17.8,20.7,17.2,15.5
2022,大型,2022,12492,2315,10177,39614.0,3.4,3.8,3.4,3.7
2023,微型,2023,136255,23678,112577,573367.0,31.3,27.9,32.2,40.3
2023,小型,2023,214449,42679,171770,579532.0,49.3,50.3,49.1,40.7
2023,中型,2023,69029,15357,53672,219641.0,15.9,18.1,15.3,15.4
2023,大型,2023,14943,3194,11749,51363.0,3.4,3.8,3.4,3.6
2024,微型,2024,181768,40610,141158,714525.0,44.0,32.9,48.8,41.7
2024,小型,2024,183447,57125,126322,705854.0,44.4,46.3,43.6,41.2
2024,中型,2024,39527,21320,18207,237848.0,9.6,17.3,6.3,13.9
2024,大型,2024,8138,4383,3755,55118.0,2.0,3.6,1.3,3.2
