城市,全部企业,注销,年份
德州市,2878,249.0,2023
德阳市,956,53.0,2023
忻州市,476,29.0,2023
怀化市,630,42.0,2023
怒江傈僳族自治州,61,3.0,2023
恩施土家族苗族自治州,1225,61.0,2023
惠州市,6258,529.0,2023
成都市,46282,3090.0,2023
扬州市,3677,214.0,2023
承德市,524,63.0,2023
抚州市,1280,103.0,2023
抚顺市,704,66.0,2023
拉萨市,1614,35.0,2023
揭阳市,548,36.0,2023
攀枝花市,348,14.0,2023
文山壮族苗族自治州,357,33.0,2023
文昌市,1925,55.0,2023
新乡市,1806,175.0,2023
新余市,710,45.0,2023
新星市,40,2.0,2023
无锡市,9513,425.0,2023
日喀则市,122,3.0,2023
日照市,2521,225.0,2023
昆明市,14371,1721.0,2023
昆玉市,20,0.0,2023
昌吉回族自治州,503,44.0,2023
昌江黎族自治县,41,3.0,2023
昌都市,94,4.0,2023
昭通市,473,39.0,2023
晋中市,1035,75.0,2023
晋城市,928,67.0,2023
普洱市,286,18.0,2023
景德镇市,496,30.0,2023
曲靖市,882,70.0,2023
朔州市,385,17.0,2023
朝阳市,647,56.0,2023
本溪市,220,12.0,2023
来宾市,299,9.0,2023
杭州市,47332,2690.0,2023
松原市,393,25.0,2023
林芝市,79,2.0,2023
果洛藏族自治州,14,0.0,2023
枣庄市,2780,268.0,2023
柳州市,2265,139.0,2023
株洲市,1569,160.0,2023
桂林市,1821,130.0,2023
梅州市,936,61.0,2023
梧州市,548,43.0,2023
楚雄彝族自治州,450,40.0,2023
榆林市,2286,106.0,2023
武威市,368,16.0,2023
武汉市,33155,1746.0,2023
毕节市,793,42.0,2023
永州市,681,55.0,2023
汉中市,937,56.0,2023
汕头市,1377,80.0,2023
汕尾市,518,37.0,2023
江门市,1571,51.0,2023
池州市,418,39.0,2023
沈阳市,12471,710.0,2023
沧州市,792,85.0,2023
河池市,388,32.0,2023
河源市,967,96.0,2023
泉州市,7603,487.0,2023
泰安市,3814,340.0,2023
泰州市,2442,132.0,2023
泸州市,1076,76.0,2023
洛阳市,3631,338.0,2023
济南市,28254,2209.0,2023
济宁市,5219,515.0,2023
济源市,277,37.0,2023
海东市,209,14.0,2023
海北藏族自治州,33,1.0,2023
海南省洋浦经济开发区,9,1.0,2023
海南藏族自治州,65,6.0,2023
海口市,31365,2161.0,2023
海西蒙古族藏族自治州,159,15.0,2023
淄博市,4089,269.0,2023
淮北市,734,62.0,2023
淮南市,847,51.0,2023
淮安市,2665,202.0,2023
深圳市,81820,2270.0,2023
清远市,596,39.0,2023
温州市,8403,624.0,2023
渭南市,1581,76.0,2023
湖州市,3242,276.0,2023
湘潭市,687,64.0,2023
湘西土家族苗族自治州,340,41.0,2023
湛江市,1555,85.0,2023
滁州市,1367,124.0,2023
滨州市,3155,270.0,2023
漯河市,681,55.0,2023
漳州市,3441,244.0,2023
潍坊市,7258,660.0,2023
潜江市,162,10.0,2023
潮州市,550,23.0,2023
澄迈县,2252,177.0,2023
濮阳市,939,77.0,2023
烟台市,6990,450.0,2023
焦作市,875,68.0,2023
牡丹江市,438,38.0,2023
玉林市,1102,78.0,2023
玉树藏族自治州,22,0.0,2023
玉溪市,354,40.0,2023
珠海市,8139,316.0,2023
琼中黎族苗族自治县,43,6.0,2023
琼海市,826,26.0,2023
甘南藏族自治州,94,3.0,2023
甘孜藏族自治州,115,3.0,2023
白城市,215,24.0,2023
白山市,196,16.0,2023
白杨市,3,1.0,2023
白沙黎族自治县,29,0.0,2023
白银市,368,19.0,2023
百色市,511,44.0,2023
益阳市,586,27.0,2023
盐城市,3347,201.0,2023
盘锦市,481,38.0,2023
眉山市,695,97.0,2023
石嘴山市,197,10.0,2023
石家庄市,4276,393.0,2023
石河子市,223,11.0,2023
神农架林区,25,0.0,2023
福州市,22646,1126.0,2023
秦皇岛市,639,107.0,2023
红河哈尼族彝族自治州,433,37.0,2023
绍兴市,3532,238.0,2023
绥化市,331,22.0,2023
绵阳市,3084,270.0,2023
聊城市,2852,298.0,2023
肇庆市,1073,61.0,2023
胡杨河市,56,0.0,2023
自贡市,596,38.0,2023
舟山市,854,71.0,2023
芜湖市,4853,895.0,2023
苏州市,30593,1653.0,2023
茂名市,1114,67.0,2023
荆州市,1185,64.0,2023
荆门市,754,43.0,2023
莆田市,2894,373.0,2023
菏泽市,3656,456.0,2023
萍乡市,1237,376.0,2023
营口市,671,95.0,2023
葫芦岛市,387,43.0,2023
蚌埠市,1311,96.0,2023
衡水市,714,80.0,2023
衡阳市,1670,135.0,2023
衢州市,1226,85.0,2023
襄阳市,2701,178.0,2023
西双版纳傣族自治州,362,49.0,2023
西宁市,2740,152.0,2023
西安市,54358,2716.0,2023
许昌市,1295,120.0,2023
贵州省贵安新区,3,2.0,2023
贵港市,627,55.0,2023
贵阳市,10852,589.0,2023
贺州市,406,39.0,2023
资阳市,320,20.0,2023
赣州市,4060,323.0,2023
赤峰市,869,52.0,2023
辽宁省沈抚示范区,2,0.0,2023
辽源市,110,12.0,2023
辽阳市,260,21.0,2023
达州市,610,33.0,2023
运城市,2386,183.0,2023
连云港市,2256,179.0,2023
迪庆藏族自治州,92,3.0,2023
通化市,252,34.0,2023
通辽市,574,45.0,2023
遂宁市,473,26.0,2023
遵义市,1703,113.0,2023
邢台市,868,83.0,2023
那曲市,52,0.0,2023
邯郸市,1481,182.0,2023
邵阳市,794,49.0,2023
郑州市,23857,1432.0,2023
郴州市,1027,123.0,2023
鄂尔多斯市,1514,50.0,2023
鄂州市,436,29.0,2023
酒泉市,646,36.0,2023
重庆市,34713,2231.0,2023
金华市,6741,568.0,2023
金昌市,177,16.0,2023
钦州市,2143,94.0,2023
铁岭市,274,20.0,2023
铁门关市,48,7.0,2023
铜仁市,618,27.0,2023
铜川市,313,31.0,2023
铜陵市,502,35.0,2023
银川市,4362,296.0,2023
锡林郭勒盟,326,20.0,2023
锦州市,564,43.0,2023
镇江市,2440,126.0,2023
长春市,8273,514.0,2023
长沙市,25025,2025.0,2023
长治市,1246,63.0,2023
阜新市,308,19.0,2023
阜阳市,2489,189.0,2023
防城港市,341,28.0,2023
阳江市,507,30.0,2023
阳泉市,725,58.0,2023
阿克苏地区,674,40.0,2023
阿勒泰地区,96,8.0,2023
阿坝藏族羌族自治州,80,5.0,2023
阿拉善盟,97,3.0,2023
阿拉尔市,140,9.0,2023
阿里地区,30,0.0,2023
陇南市,366,12.0,2023
陵水黎族自治县,796,75.0,2023
随州市,489,40.0,2023
雄安新区,3,0.0,2023
雅安市,281,24.0,2023
青岛市,21905,1344.0,2023
鞍山市,761,66.0,2023
韶关市,838,62.0,2023
马鞍山市,971,73.0,2023
驻马店市,975,79.0,2023
鸡西市,160,8.0,2023
鹤壁市,688,52.0,2023
鹤岗市,127,15.0,2023
鹰潭市,502,42.0,2023
黄冈市,1330,94.0,2023
黄南藏族自治州,15,0.0,2023
黄山市,400,17.0,2023
黄石市,977,78.0,2023
黑河市,172,18.0,2023
黔东南苗族侗族自治州,681,49.0,2023
黔南布依族苗族自治州,778,47.0,2023
黔西南布依族苗族自治州,719,40.0,2023
齐齐哈尔市,451,99.0,2023
龙岩市,2372,169.0,2023
七台河市,112,20.0,2024
万宁市,359,27.0,2024
三亚市,13705,606.0,2024
三明市,1774,62.0,2024
三沙市,11,2.0,2024
三门峡市,675,84.0,2024
上海市,86076,7278.0,2024
上饶市,2600,280.0,2024
东方市,713,59.0,2024
东莞市,15695,1519.0,2024
东营市,2916,269.0,2024
中卫市,241,25.0,2024
中国（四川）自由贸易试验区,2,0.0,2024
中国（江苏）自由贸易试验区苏州片区,40,1.0,2024
中山市,5817,518.0,2024
临夏回族自治州,245,15.0,2024
临汾市,1292,155.0,2024
临沂市,8833,1085.0,2024
临沧市,529,21.0,2024
临高县,362,44.0,2024
丹东市,531,45.0,2024
丽水市,1703,155.0,2024
丽江市,394,4.0,2024
乌兰察布市,455,51.0,2024
乌海市,243,27.0,2024
乌鲁木齐市,8375,548.0,2024
乐东黎族自治县,237,20.0,2024
乐山市,607,14.0,2024
九江市,4362,360.0,2024
云浮市,331,36.0,2024
五家渠市,98,8.0,2024
五指山市,164,9.0,2024
亳州市,1239,192.0,2024
仙桃市,342,37.0,2024
伊春市,97,11.0,2024
伊犁哈萨克自治州,1003,93.0,2024
佛山市,13573,1087.0,2024
佳木斯市,471,60.0,2024
保亭黎族苗族自治县,100,12.0,2024
保定市,5613,236.0,2024
保山市,362,10.0,2024
信阳市,1577,173.0,2024
儋州市,2742,338.0,2024
克孜勒苏柯尔克孜自治州,119,7.0,2024
克拉玛依市,366,23.0,2024
六安市,2066,251.0,2024
六盘水市,928,70.0,2024
兰州市,7148,427.0,2024
兴安盟,334,21.0,2024
内江市,616,16.0,2024
凉山彝族自治州,839,12.0,2024
包头市,1688,161.0,2024
北京市,130720,5710.0,2024
北屯市,37,2.0,2024
北海市,1071,117.0,2024
十堰市,1963,158.0,2024
南京市,37570,3427.0,2024
南充市,1581,40.0,2024
南宁市,16421,1224.0,2024
南平市,1224,31.0,2024
南昌市,10425,967.0,2024
南通市,6748,529.0,2024
南阳市,3354,449.0,2024
博尔塔拉蒙古自治州,151,12.0,2024
厦门市,29702,2162.0,2024
双河市,43,4.0,2024
双鸭山市,120,18.0,2024
可克达拉市,46,4.0,2024
台州市,3562,363.0,2024
合肥市,29922,3340.0,2024
吉安市,1908,220.0,2024
吉林市,1284,154.0,2024
吐鲁番市,118,8.0,2024
吕梁市,805,101.0,2024
吴忠市,354,26.0,2024
周口市,2122,310.0,2024
呼伦贝尔市,498,49.0,2024
呼和浩特市,4901,319.0,2024
和田地区,490,36.0,2024
咸宁市,1477,163.0,2024
咸阳市,5389,65.0,2024
哈密市,391,26.0,2024
哈尔滨市,7705,823.0,2024
唐山市,2600,68.0,2024
商丘市,1618,234.0,2024
商洛市,335,8.0,2024
喀什地区,1332,89.0,2024
嘉兴市,5897,474.0,2024
嘉峪关市,240,27.0,2024
四平市,306,31.0,2024
固原市,323,16.0,2024
图木舒克市,120,7.0,2024
塔城地区,204,16.0,2024
大兴安岭地区,42,3.0,2024
大同市,897,100.0,2024
大庆市,1166,121.0,2024
大理白族自治州,642,19.0,2024
大连市,8859,964.0,2024
天水市,601,52.0,2024
天津市,31053,2799.0,2024
天门市,271,21.0,2024
太原市,12329,1730.0,2024
威海市,3007,358.0,2024
娄底市,1069,37.0,2024
孝感市,1152,108.0,2024
宁德市,2656,83.0,2024
宁波市,14755,1114.0,2024
安庆市,2016,322.0,2024
安康市,849,13.0,2024
安阳市,2199,286.0,2024
安顺市,747,55.0,2024
定安县,145,11.0,2024
定西市,556,47.0,2024
宜宾市,1731,32.0,2024
宜昌市,3904,323.0,2024
宜春市,2535,310.0,2024
宝鸡市,3511,46.0,2024
宣城市,895,87.0,2024
宿州市,1858,233.0,2024
宿迁市,3384,345.0,2024
屯昌县,171,6.0,2024
山南市,118,4.0,2024
山西转型综合改革示范区,134,17.0,2024
岳阳市,1412,36.0,2024
崇左市,334,25.0,2024
巴中市,536,11.0,2024
巴彦淖尔市,391,30.0,2024
巴音郭楞蒙古自治州,790,56.0,2024
常州市,6837,462.0,2024
常德市,820,22.0,2024
平凉市,528,66.0,2024
平顶山市,1351,173.0,2024
广元市,635,12.0,2024
广安市,618,10.0,2024
广州市,98792,6760.0,2024
庆阳市,1100,126.0,2024
廊坊市,2929,150.0,2024
延安市,1042,18.0,2024
延边朝鲜族自治州,599,61.0,2024
开封市,1665,187.0,2024
张家口市,1716,66.0,2024
张家界市,441,20.0,2024
张掖市,665,38.0,2024
徐州市,8754,1046.0,2024
德宏傣族景颇族自治州,261,17.0,2024
德州市,3304,390.0,2024
德阳市,1196,28.0,2024
忻州市,547,59.0,2024
怀化市,892,9.0,2024
怒江傈僳族自治州,84,3.0,2024
恩施土家族苗族自治州,1587,156.0,2024
惠州市,7432,784.0,2024
成都市,58480,1035.0,2024
扬州市,4289,401.0,2024
承德市,874,42.0,2024
抚州市,1428,169.0,2024
抚顺市,710,86.0,2024
拉萨市,2110,82.0,2024
揭阳市,656,74.0,2024
攀枝花市,409,4.0,2024
文山壮族苗族自治州,531,11.0,2024
文昌市,1742,420.0,2024
新乡市,2169,248.0,2024
新余市,778,114.0,2024
新星市,80,7.0,2024
无锡市,11437,737.0,2024
日喀则市,173,12.0,2024
日照市,2807,305.0,2024
昆明市,18588,424.0,2024
昆玉市,25,6.0,2024
昌吉回族自治州,657,43.0,2024
昌江黎族自治县,55,7.0,2024
昌都市,135,6.0,2024
昭通市,667,24.0,2024
晋中市,1264,132.0,2024
晋城市,1080,128.0,2024
普洱市,409,8.0,2024
景德镇市,589,69.0,2024
曲靖市,1255,48.0,2024
朔州市,464,39.0,2024
朝阳市,708,91.0,2024
本溪市,259,25.0,2024
来宾市,360,31.0,2024
杭州市,56093,4023.0,2024
松原市,482,61.0,2024
林芝市,117,3.0,2024
果洛藏族自治州,10,4.0,2024
枣庄市,3100,385.0,2024
柳州市,2475,256.0,2024
株洲市,2109,41.0,2024
桂林市,2052,206.0,2024
梅州市,1118,98.0,2024
梧州市,630,66.0,2024
楚雄彝族自治州,622,27.0,2024
榆林市,2747,40.0,2024
武威市,462,27.0,2024
武汉市,44451,3191.0,2024
毕节市,1129,83.0,2024
永州市,934,21.0,2024
汉中市,1189,25.0,2024
汕头市,1652,106.0,2024
汕尾市,646,50.0,2024
江西省赣江新区直管区,2,0.0,2024
江门市,1887,141.0,2024
池州市,510,54.0,2024
沈阳市,14349,1213.0,2024
沧州市,1237,46.0,2024
河池市,482,39.0,2024
河源市,1068,138.0,2024
泉州市,9658,230.0,2024
泰安市,4225,564.0,2024
泰州市,2787,245.0,2024
泸州市,1424,44.0,2024
洛阳市,4362,514.0,2024
济南市,31170,3330.0,2024
济宁市,5894,828.0,2024
济源市,314,48.0,2024
海东市,242,17.0,2024
海北藏族自治州,41,1.0,2024
海南藏族自治州,76,2.0,2024
海口市,38561,3758.0,2024
海西蒙古族藏族自治州,202,14.0,2024
淄博市,4547,487.0,2024
淮北市,890,120.0,2024
淮南市,1008,98.0,2024
淮安市,3302,314.0,2024
深圳市,103828,4577.0,2024
清远市,783,70.0,2024
温州市,9633,990.0,2024
渭南市,1860,19.0,2024
湖州市,3679,378.0,2024
湘潭市,938,18.0,2024
湘西土家族苗族自治州,465,11.0,2024
湛江市,1961,149.0,2024
滁州市,1654,147.0,2024
滨州市,3354,477.0,2024
漯河市,995,125.0,2024
漳州市,4179,101.0,2024
潍坊市,8148,993.0,2024
潜江市,212,25.0,2024
潮州市,646,48.0,2024
澄迈县,2515,250.0,2024
濮阳市,1238,170.0,2024
烟台市,7509,909.0,2024
焦作市,1083,136.0,2024
牡丹江市,532,82.0,2024
玉林市,1301,119.0,2024
玉树藏族自治州,26,2.0,2024
玉溪市,503,35.0,2024
珠海市,9291,607.0,2024
琼中黎族苗族自治县,50,5.0,2024
琼海市,922,112.0,2024
甘南藏族自治州,113,10.0,2024
甘孜藏族自治州,134,0.0,2024
白城市,251,27.0,2024
白山市,228,23.0,2024
白杨市,24,1.0,2024
白沙黎族自治县,36,4.0,2024
白银市,423,46.0,2024
百色市,609,52.0,2024
益阳市,763,23.0,2024
盐城市,4008,391.0,2024
盘锦市,536,64.0,2024
眉山市,922,13.0,2024
石嘴山市,231,19.0,2024
石家庄市,6192,207.0,2024
石河子市,283,22.0,2024
神农架林区,28,4.0,2024
福州市,26662,517.0,2024
秦皇岛市,935,39.0,2024
红河哈尼族彝族自治州,600,12.0,2024
绍兴市,4110,352.0,2024
绥化市,435,61.0,2024
绵阳市,3953,57.0,2024
聊城市,3274,398.0,2024
肇庆市,1274,141.0,2024
胡杨河市,68,5.0,2024
自贡市,802,22.0,2024
舟山市,946,90.0,2024
芜湖市,5435,550.0,2024
苏州市,35121,2501.0,2024
茂名市,1395,107.0,2024
荆州市,1584,165.0,2024
荆门市,1026,91.0,2024
莆田市,3709,113.0,2024
菏泽市,4012,713.0,2024
萍乡市,1474,187.0,2024
营口市,763,104.0,2024
葫芦岛市,426,51.0,2024
蚌埠市,1575,199.0,2024
衡水市,1063,32.0,2024
衡阳市,2162,25.0,2024
衢州市,1537,97.0,2024
襄阳市,3277,438.0,2024
西双版纳傣族自治州,493,15.0,2024
西宁市,3158,197.0,2024
西安市,62325,797.0,2024
许昌市,1526,202.0,2024
贵州省贵安新区,2,3.0,2024
贵港市,797,75.0,2024
贵阳市,13528,1108.0,2024
贺州市,497,43.0,2024
资阳市,437,11.0,2024
赣州市,4606,542.0,2024
赤峰市,1067,101.0,2024
辽宁省沈抚示范区,2,1.0,2024
辽源市,134,12.0,2024
辽阳市,292,35.0,2024
达州市,787,19.0,2024
运城市,3240,300.0,2024
连云港市,2778,256.0,2024
迪庆藏族自治州,116,2.0,2024
通化市,276,47.0,2024
通辽市,653,80.0,2024
遂宁市,642,12.0,2024
遵义市,2378,221.0,2024
邢台市,1393,31.0,2024
那曲市,67,0.0,2024
邯郸市,2593,107.0,2024
邵阳市,1185,20.0,2024
郑州市,28835,2525.0,2024
郴州市,1466,72.0,2024
鄂尔多斯市,1897,115.0,2024
鄂州市,613,55.0,2024
酒泉市,757,58.0,2024
重庆市,39821,3681.0,2024
金华市,7758,762.0,2024
金昌市,227,20.0,2024
钦州市,933,1359.0,2024
铁岭市,316,37.0,2024
铁门关市,54,8.0,2024
铜仁市,762,74.0,2024
铜川市,366,8.0,2024
铜陵市,637,70.0,2024
银川市,4863,468.0,2024
锡林郭勒盟,369,40.0,2024
锦州市,618,66.0,2024
镇江市,2803,292.0,2024
长春市,9624,1073.0,2024
长沙市,33466,760.0,2024
长治市,1575,170.0,2024
阜新市,340,39.0,2024
阜阳市,3085,340.0,2024
防城港市,396,37.0,2024
阳江市,626,79.0,2024
阳泉市,771,78.0,2024
阿克苏地区,828,81.0,2024
阿勒泰地区,135,9.0,2024
阿坝藏族羌族自治州,96,0.0,2024
阿拉善盟,112,10.0,2024
阿拉尔市,172,21.0,2024
阿里地区,43,0.0,2024
陇南市,435,24.0,2024
陵水黎族自治县,1042,62.0,2024
随州市,610,52.0,2024
雄安新区,3,1.0,2024
雅安市,372,8.0,2024
青岛市,24151,2025.0,2024
鞍山市,841,85.0,2024
韶关市,1002,78.0,2024
马鞍山市,1155,93.0,2024
驻马店市,1252,149.0,2024
鸡西市,215,30.0,2024
鹤壁市,838,100.0,2024
鹤岗市,147,22.0,2024
鹰潭市,530,74.0,2024
黄冈市,1734,144.0,2024
黄南藏族自治州,19,1.0,2024
黄山市,500,42.0,2024
黄石市,1170,116.0,2024
黑河市,225,23.0,2024
黔东南苗族侗族自治州,889,78.0,2024
黔南布依族苗族自治州,997,81.0,2024
黔西南布依族苗族自治州,966,73.0,2024
齐齐哈尔市,501,124.0,2024
龙岩市,2950,117.0,2024
