城市,年份,注销数量,最新注销率,风险评分,风险等级,动态预警,注销率得分,趋势得分,波动性得分,趋势斜率,历史波动性,最近3年年份,最近3年注销率,预警详情,预警原因
嘉兴市,2024,474.0,0.08,33.7,低风险,无预警,24.11,7.54,2.05,0.01,0.02,"2022,2023,2024","0.06,0.06,0.08",,
清远市,2024,70.0,0.09,33.47,低风险,无预警,26.82,2.93,3.72,0.0,0.04,"2022,2023,2024","0.08,0.07,0.09",,
陇南市,2024,24.0,0.06,33.27,低风险,橙色预警,16.55,14.3,2.43,0.02,0.02,"2022,2023,2024","0.01,0.03,0.06","注销率异常增长: 去年→今年: 100.00%, 前年→去年: 200.00%",注销率异常增长
武汉市,2024,3191.0,0.07,33.22,低风险,黄色预警,21.54,9.13,2.55,0.02,0.03,"2022,2023,2024","0.04,0.05,0.07","风险评分连续增长: 去年→今年: 19.00%, 前年→去年: 16.00%",风险趋势恶化
喀什地区,2024,89.0,0.07,33.16,低风险,橙色预警,20.05,10.38,2.74,0.02,0.03,"2022,2023,2024","0.03,0.07,0.07","注销率异常增长: 去年→今年: 0.00%, 前年→去年: 133.00%",注销率异常增长
崇左市,2024,25.0,0.07,32.89,低风险,无预警,22.46,7.79,2.65,0.01,0.03,"2022,2023,2024","0.05,0.07,0.07",,
连云港市,2024,256.0,0.09,32.44,低风险,无预警,27.65,0.0,4.8,-0.01,0.05,"2022,2023,2024","0.12,0.08,0.09",,
兰州市,2024,427.0,0.06,32.4,低风险,黄色预警,17.92,12.24,2.24,0.02,0.02,"2022,2023,2024","0.02,0.03,0.06","风险评分连续增长: 去年→今年: 84.00%, 前年→去年: 67.00%",风险趋势恶化
临夏回族自治州,2024,15.0,0.06,32.31,低风险,黄色预警,18.37,11.6,2.34,0.02,0.02,"2022,2023,2024","0.02,0.03,0.06","风险评分连续增长: 去年→今年: 98.00%, 前年→去年: 11.00%",风险趋势恶化
吴忠市,2024,26.0,0.07,31.95,低风险,无预警,22.03,7.52,2.4,0.01,0.02,"2022,2023,2024","0.05,0.07,0.07",,
厦门市,2024,2162.0,0.07,31.8,低风险,无预警,21.84,7.51,2.45,0.01,0.02,"2022,2023,2024","0.05,0.05,0.07",,
定安县,2024,11.0,0.08,31.68,低风险,橙色预警,22.76,0.0,8.92,-0.02,0.09,"2022,2023,2024","0.11,0.27,0.08","注销率异常增长: 去年→今年: -70.00%, 前年→去年: 145.00%",注销率异常增长
和田地区,2024,36.0,0.07,31.59,低风险,无预警,22.04,6.25,3.29,0.01,0.03,"2022,2023,2024","0.05,0.08,0.07",,
苏州市,2024,2501.0,0.07,31.45,低风险,无预警,21.36,7.66,2.42,0.01,0.02,"2022,2023,2024","0.05,0.05,0.07",,
贺州市,2024,43.0,0.09,31.19,低风险,无预警,25.96,1.63,3.6,0.0,0.04,"2022,2023,2024","0.08,0.1,0.09",,
塔城地区,2024,16.0,0.08,30.95,低风险,无预警,23.53,3.34,4.08,0.01,0.04,"2022,2023,2024","0.07,0.11,0.08",,
绍兴市,2024,352.0,0.09,30.92,低风险,无预警,25.69,2.81,2.41,0.0,0.02,"2022,2023,2024","0.08,0.07,0.09",,
茂名市,2024,107.0,0.08,30.67,低风险,无预警,23.01,4.62,3.04,0.01,0.03,"2022,2023,2024","0.06,0.06,0.08",,
海东市,2024,17.0,0.07,30.57,低风险,无预警,21.07,6.48,3.02,0.01,0.03,"2022,2023,2024","0.05,0.07,0.07",,
宁波市,2024,1114.0,0.08,30.51,低风险,无预警,22.65,6.06,1.8,0.01,0.02,"2022,2023,2024","0.06,0.06,0.08",,
珠海市,2024,607.0,0.07,30.5,低风险,无预警,19.6,8.77,2.13,0.01,0.02,"2022,2023,2024","0.04,0.04,0.07",,
克拉玛依市,2024,23.0,0.06,29.53,低风险,无预警,18.85,8.28,2.4,0.01,0.02,"2022,2023,2024","0.04,0.05,0.06",,
黔西南布依族苗族自治州,2024,73.0,0.08,29.35,低风险,黄色预警,22.67,5.42,1.26,0.01,0.01,"2022,2023,2024","0.06,0.06,0.08","风险评分连续增长: 去年→今年: 34.00%, 前年→去年: 12.00%",风险趋势恶化
张掖市,2024,38.0,0.06,29.08,低风险,橙色预警,17.14,9.59,2.36,0.02,0.02,"2022,2023,2024","0.03,0.02,0.06","注销率异常增长: 去年→今年: 200.00%, 前年→去年: -33.00%",注销率异常增长
克孜勒苏柯尔克孜自治州,2024,7.0,0.06,29.07,低风险,橙色预警,17.65,8.42,3.01,0.01,0.03,"2022,2023,2024","0.03,0.07,0.06","注销率异常增长: 去年→今年: -25.00%, 前年→去年: 167.00%",注销率异常增长
西宁市,2024,197.0,0.06,28.9,低风险,黄色预警,18.71,8.16,2.03,0.01,0.02,"2022,2023,2024","0.04,0.06,0.06","风险评分连续增长: 去年→今年: 16.00%, 前年→去年: 30.00%",风险趋势恶化
吐鲁番市,2024,8.0,0.07,28.77,低风险,无预警,20.34,5.58,2.85,0.01,0.03,"2022,2023,2024","0.05,0.07,0.07",,
无锡市,2024,737.0,0.06,28.66,低风险,无预警,19.33,7.18,2.15,0.01,0.02,"2022,2023,2024","0.04,0.04,0.06",,
河池市,2024,39.0,0.08,28.46,低风险,无预警,24.27,0.0,4.19,-0.01,0.04,"2022,2023,2024","0.09,0.08,0.08",,
杭州市,2024,4023.0,0.07,28.12,低风险,无预警,21.52,5.22,1.38,0.01,0.01,"2022,2023,2024","0.05,0.06,0.07",,
石嘴山市,2024,19.0,0.08,28.08,低风险,无预警,24.68,0.0,3.4,-0.0,0.03,"2022,2023,2024","0.08,0.05,0.08",,
武威市,2024,27.0,0.06,27.5,低风险,黄色预警,17.53,7.71,2.25,0.01,0.02,"2022,2023,2024","0.03,0.04,0.06","风险评分连续增长: 去年→今年: 23.00%, 前年→去年: 5.00%",风险趋势恶化
汕尾市,2024,50.0,0.08,27.46,低风险,无预警,23.22,1.63,2.61,0.0,0.03,"2022,2023,2024","0.07,0.07,0.08",,
德宏傣族景颇族自治州,2024,17.0,0.07,27.36,低风险,无预警,19.54,0.0,7.82,-0.01,0.08,"2022,2023,2024","0.09,0.11,0.07",,
玉溪市,2024,35.0,0.07,27.12,低风险,无预警,20.87,0.0,6.24,-0.0,0.06,"2022,2023,2024","0.08,0.11,0.07",,
胡杨河市,2024,5.0,0.07,26.9,低风险,无预警,22.06,0.0,4.85,-0.01,0.05,"2022,2023,2024","0.1,0.0,0.07",,
兴安盟,2024,21.0,0.06,26.83,低风险,无预警,18.86,4.58,3.39,0.01,0.03,"2022,2023,2024","0.05,0.08,0.06",,
图木舒克市,2024,7.0,0.06,26.65,低风险,无预警,17.5,6.59,2.56,0.01,0.03,"2022,2023,2024","0.04,0.03,0.06",,
汕头市,2024,106.0,0.06,26.64,低风险,无预警,19.25,4.94,2.45,0.01,0.02,"2022,2023,2024","0.05,0.06,0.06",,
天门市,2024,21.0,0.08,26.58,低风险,无预警,23.25,0.0,3.34,-0.0,0.03,"2022,2023,2024","0.08,0.07,0.08",,
万宁市,2024,27.0,0.08,26.27,低风险,无预警,22.56,0.9,2.81,0.0,0.03,"2022,2023,2024","0.07,0.07,0.08",,
常州市,2024,462.0,0.07,26.04,低风险,无预警,20.27,3.18,2.59,0.01,0.03,"2022,2023,2024","0.06,0.05,0.07",,
广州市,2024,6760.0,0.07,25.49,低风险,无预警,20.53,1.74,3.23,0.0,0.03,"2022,2023,2024","0.06,0.05,0.07",,
北京市,2024,5710.0,0.04,25.18,低风险,黄色预警,13.1,10.27,1.81,0.02,0.02,"2022,2023,2024","0.01,0.02,0.04","风险评分连续增长: 去年→今年: 81.00%, 前年→去年: 134.00%",风险趋势恶化
海西蒙古族藏族自治州,2024,14.0,0.07,25.07,低风险,无预警,20.79,0.49,3.79,0.0,0.04,"2022,2023,2024","0.07,0.09,0.07",,
中国（江苏）自由贸易试验区苏州片区,2024,1.0,0.02,25.0,低风险,无预警,7.5,7.5,10.0,0.01,0.28,"2022,2023,2024","0.0,0.5,0.03",,
衢州市,2024,97.0,0.06,24.79,低风险,无预警,18.93,3.98,1.88,0.01,0.02,"2022,2023,2024","0.05,0.07,0.06",,
哈密市,2024,26.0,0.07,24.01,低风险,无预警,19.95,1.77,2.29,0.0,0.02,"2022,2023,2024","0.06,0.05,0.07",,
固原市,2024,16.0,0.05,23.98,低风险,无预警,14.86,6.93,2.19,0.01,0.02,"2022,2023,2024","0.03,0.06,0.05",,
昌吉回族自治州,2024,43.0,0.07,23.17,低风险,无预警,19.63,0.0,3.54,-0.0,0.04,"2022,2023,2024","0.07,0.09,0.07",,
拉萨市,2024,82.0,0.04,21.49,低风险,黄色预警,11.66,8.55,1.29,0.01,0.01,"2022,2023,2024","0.01,0.02,0.04","风险评分连续增长: 去年→今年: 124.00%, 前年→去年: 103.00%",风险趋势恶化
陵水黎族自治县,2024,62.0,0.06,21.35,低风险,无预警,17.85,0.0,3.5,-0.03,0.03,"2022,2023,2024","0.11,0.09,0.06",,
廊坊市,2024,150.0,0.05,20.79,低风险,无预警,15.36,0.0,5.43,-0.06,0.05,"2022,2023,2024","0.18,0.18,0.05",,
深圳市,2024,4577.0,0.04,20.77,低风险,黄色预警,13.22,6.37,1.17,0.01,0.01,"2022,2023,2024","0.02,0.03,0.04","风险评分连续增长: 去年→今年: 66.00%, 前年→去年: 32.00%",风险趋势恶化
北屯市,2024,2.0,0.05,20.74,低风险,无预警,16.22,0.0,4.52,-0.02,0.05,"2022,2023,2024","0.1,0.0,0.05",,
黄南藏族自治州,2024,1.0,0.05,19.67,低风险,无预警,15.79,0.0,3.88,-0.02,0.04,"2022,2023,2024","0.08,0.0,0.05",,
五指山市,2024,9.0,0.05,19.39,低风险,无预警,16.46,0.0,2.93,-0.01,0.03,"2022,2023,2024","0.07,0.07,0.05",,
屯昌县,2024,6.0,0.04,19.38,低风险,橙色预警,10.53,2.93,5.92,0.0,0.06,"2022,2023,2024","0.03,0.14,0.04","注销率异常增长: 去年→今年: -71.00%, 前年→去年: 367.00%",注销率异常增长
秦皇岛市,2024,39.0,0.04,19.37,低风险,无预警,12.51,0.0,6.85,-0.04,0.07,"2022,2023,2024","0.12,0.17,0.04",,
昌都市,2024,6.0,0.04,19.36,低风险,无预警,13.33,3.81,2.22,0.01,0.02,"2022,2023,2024","0.03,0.04,0.04",,
承德市,2024,42.0,0.05,18.91,低风险,无预警,14.42,0.0,4.49,-0.03,0.04,"2022,2023,2024","0.1,0.12,0.05",,
西双版纳傣族自治州,2024,15.0,0.03,18.66,低风险,无预警,9.13,0.0,9.53,-0.09,0.1,"2022,2023,2024","0.22,0.14,0.03",,
莆田市,2024,113.0,0.03,18.63,低风险,无预警,9.14,0.0,9.49,-0.07,0.09,"2022,2023,2024","0.17,0.13,0.03",,
楚雄彝族自治州,2024,27.0,0.04,17.82,低风险,无预警,13.02,0.0,4.8,-0.03,0.05,"2022,2023,2024","0.11,0.09,0.04",,
三亚市,2024,606.0,0.04,17.73,低风险,无预警,13.27,3.37,1.09,0.01,0.01,"2022,2023,2024","0.03,0.03,0.04",,
郴州市,2024,72.0,0.05,17.52,低风险,无预警,14.73,0.0,2.79,-0.03,0.03,"2022,2023,2024","0.11,0.12,0.05",,
保山市,2024,10.0,0.03,16.79,低风险,无预警,8.29,0.0,8.5,-0.09,0.09,"2022,2023,2024","0.2,0.16,0.03",,
龙岩市,2024,117.0,0.04,16.7,低风险,无预警,11.9,0.0,4.8,-0.03,0.05,"2022,2023,2024","0.1,0.07,0.04",,
铜川市,2024,8.0,0.02,16.56,低风险,无预警,6.56,0.0,10.0,-0.03,0.21,"2022,2023,2024","0.07,0.1,0.02",,
曲靖市,2024,48.0,0.04,16.53,低风险,无预警,11.47,0.0,5.06,-0.04,0.05,"2022,2023,2024","0.13,0.08,0.04",,
雅安市,2024,8.0,0.02,16.45,低风险,无预警,6.45,0.0,10.0,-0.03,0.11,"2022,2023,2024","0.09,0.09,0.02",,
保定市,2024,236.0,0.04,16.34,低风险,无预警,12.61,0.0,3.73,-0.04,0.04,"2022,2023,2024","0.12,0.11,0.04",,
张家口市,2024,66.0,0.04,16.29,低风险,无预警,11.54,0.0,4.75,-0.04,0.05,"2022,2023,2024","0.11,0.12,0.04",,
张家界市,2024,20.0,0.05,16.28,低风险,无预警,13.61,0.0,2.68,-0.02,0.03,"2022,2023,2024","0.1,0.08,0.05",,
邯郸市,2024,107.0,0.04,16.11,低风险,无预警,12.38,0.0,3.73,-0.04,0.04,"2022,2023,2024","0.12,0.12,0.04",,
昭通市,2024,24.0,0.04,16.11,低风险,无预警,10.79,0.0,5.32,-0.04,0.05,"2022,2023,2024","0.11,0.08,0.04",,
自贡市,2024,22.0,0.03,15.79,低风险,无预警,8.23,0.0,7.56,-0.06,0.08,"2022,2023,2024","0.14,0.06,0.03",,
三明市,2024,62.0,0.03,15.49,低风险,无预警,10.48,0.0,5.0,-0.02,0.05,"2022,2023,2024","0.08,0.09,0.03",,
临沧市,2024,21.0,0.04,15.2,低风险,无预警,11.91,0.0,3.29,-0.02,0.03,"2022,2023,2024","0.07,0.07,0.04",,
宁德市,2024,83.0,0.03,15.14,低风险,无预警,9.38,0.0,5.76,-0.02,0.06,"2022,2023,2024","0.08,0.11,0.03",,
沧州市,2024,46.0,0.04,14.57,低风险,无预警,11.16,0.0,3.41,-0.02,0.03,"2022,2023,2024","0.09,0.11,0.04",,
怒江傈僳族自治州,2024,3.0,0.04,14.21,低风险,无预警,10.71,0.0,3.5,-0.02,0.03,"2022,2023,2024","0.07,0.05,0.04",,
衡水市,2024,32.0,0.03,14.17,低风险,无预警,9.03,0.0,5.14,-0.06,0.05,"2022,2023,2024","0.14,0.11,0.03",,
大理白族自治州,2024,19.0,0.03,14.05,低风险,无预警,8.88,0.0,5.17,-0.04,0.05,"2022,2023,2024","0.11,0.08,0.03",,
娄底市,2024,37.0,0.03,14.04,低风险,无预警,10.38,0.0,3.65,-0.04,0.04,"2022,2023,2024","0.11,0.1,0.03",,
南平市,2024,31.0,0.03,13.76,低风险,无预警,7.6,0.0,6.16,-0.06,0.06,"2022,2023,2024","0.14,0.15,0.03",,
泸州市,2024,44.0,0.03,13.65,低风险,无预警,9.27,0.0,4.38,-0.02,0.04,"2022,2023,2024","0.08,0.07,0.03",,
石家庄市,2024,207.0,0.03,13.55,低风险,无预警,10.03,0.0,3.52,-0.02,0.04,"2022,2023,2024","0.07,0.09,0.03",,
内江市,2024,16.0,0.03,13.5,低风险,无预警,7.79,0.0,5.7,-0.05,0.06,"2022,2023,2024","0.13,0.08,0.03",,
海北藏族自治州,2024,1.0,0.02,13.43,低风险,无预警,7.32,0.0,6.11,-0.06,0.06,"2022,2023,2024","0.15,0.03,0.02",,
商洛市,2024,8.0,0.02,13.23,低风险,无预警,7.16,0.0,6.06,-0.05,0.06,"2022,2023,2024","0.12,0.06,0.02",,
湘西土家族苗族自治州,2024,11.0,0.02,13.17,低风险,无预警,7.1,0.0,6.07,-0.06,0.06,"2022,2023,2024","0.14,0.12,0.02",,
达州市,2024,19.0,0.02,13.05,低风险,无预警,7.24,0.0,5.81,-0.04,0.06,"2022,2023,2024","0.11,0.05,0.02",,
漳州市,2024,101.0,0.02,12.98,低风险,无预警,7.25,0.0,5.73,-0.04,0.06,"2022,2023,2024","0.11,0.07,0.02",,
常德市,2024,22.0,0.03,12.76,低风险,无预警,8.05,0.0,4.71,-0.06,0.05,"2022,2023,2024","0.14,0.09,0.03",,
南充市,2024,40.0,0.03,12.43,低风险,无预警,7.59,0.0,4.84,-0.05,0.05,"2022,2023,2024","0.13,0.07,0.03",,
汉中市,2024,25.0,0.02,12.42,低风险,无预警,6.31,0.0,6.12,-0.03,0.06,"2022,2023,2024","0.08,0.06,0.02",,
山南市,2024,4.0,0.03,12.24,低风险,橙色预警,10.17,0.65,1.42,0.0,0.01,"2022,2023,2024","0.03,0.01,0.03","注销率异常增长: 去年→今年: 200.00%, 前年→去年: -67.00%",注销率异常增长
巴中市,2024,11.0,0.02,12.2,低风险,无预警,6.16,0.0,6.04,-0.03,0.06,"2022,2023,2024","0.09,0.05,0.02",,
红河哈尼族彝族自治州,2024,12.0,0.02,12.11,低风险,无预警,6.0,0.0,6.11,-0.07,0.06,"2022,2023,2024","0.16,0.09,0.02",,
广安市,2024,10.0,0.02,12.03,低风险,无预警,4.85,0.0,7.17,-0.05,0.07,"2022,2023,2024","0.11,0.06,0.02",,
乐山市,2024,14.0,0.02,11.79,低风险,无预警,6.92,0.0,4.87,-0.05,0.05,"2022,2023,2024","0.12,0.07,0.02",,
资阳市,2024,11.0,0.03,11.73,低风险,无预警,7.55,0.0,4.18,-0.03,0.04,"2022,2023,2024","0.09,0.06,0.03",,
益阳市,2024,23.0,0.03,11.67,低风险,无预警,9.04,0.0,2.63,-0.03,0.03,"2022,2023,2024","0.1,0.05,0.03",,
宜宾市,2024,32.0,0.02,11.6,低风险,无预警,5.55,0.0,6.05,-0.04,0.06,"2022,2023,2024","0.09,0.04,0.02",,
海南藏族自治州,2024,2.0,0.03,11.39,低风险,无预警,7.89,0.0,3.5,-0.01,0.03,"2022,2023,2024","0.05,0.09,0.03",,
昆明市,2024,424.0,0.02,11.35,低风险,无预警,6.84,0.0,4.51,-0.05,0.05,"2022,2023,2024","0.11,0.12,0.02",,
德阳市,2024,28.0,0.02,11.28,低风险,无预警,7.02,0.0,4.26,-0.04,0.04,"2022,2023,2024","0.11,0.06,0.02",,
遂宁市,2024,12.0,0.02,11.23,低风险,无预警,5.61,0.0,5.62,-0.04,0.06,"2022,2023,2024","0.1,0.05,0.02",,
唐山市,2024,68.0,0.03,11.21,低风险,无预警,7.85,0.0,3.36,-0.02,0.03,"2022,2023,2024","0.07,0.1,0.03",,
永州市,2024,21.0,0.02,11.15,低风险,无预警,6.75,0.0,4.41,-0.05,0.04,"2022,2023,2024","0.13,0.08,0.02",,
岳阳市,2024,36.0,0.03,10.87,低风险,无预警,7.65,0.0,3.22,-0.04,0.03,"2022,2023,2024","0.11,0.05,0.03",,
文山壮族苗族自治州,2024,11.0,0.02,10.81,低风险,无预警,6.21,0.0,4.6,-0.05,0.05,"2022,2023,2024","0.12,0.09,0.02",,
株洲市,2024,41.0,0.02,10.77,低风险,无预警,5.83,0.0,4.94,-0.06,0.05,"2022,2023,2024","0.13,0.1,0.02",,
泉州市,2024,230.0,0.02,10.7,低风险,无预警,7.14,0.0,3.56,-0.03,0.04,"2022,2023,2024","0.08,0.06,0.02",,
长沙市,2024,760.0,0.02,10.64,低风险,无预警,6.81,0.0,3.83,-0.05,0.04,"2022,2023,2024","0.12,0.08,0.02",,
眉山市,2024,13.0,0.01,10.47,低风险,无预警,4.23,0.0,6.24,-0.03,0.06,"2022,2023,2024","0.08,0.14,0.01",,
成都市,2024,1035.0,0.02,10.3,低风险,无预警,5.31,0.0,4.99,-0.04,0.05,"2022,2023,2024","0.09,0.07,0.02",,
林芝市,2024,3.0,0.03,10.15,低风险,无预警,7.69,0.0,2.45,-0.02,0.02,"2022,2023,2024","0.07,0.03,0.03",,
广元市,2024,12.0,0.02,10.11,低风险,无预警,5.67,0.0,4.44,-0.04,0.04,"2022,2023,2024","0.1,0.09,0.02",,
江西省赣江新区直管区,2024,0.0,0.0,10.0,低风险,无预警,0.0,0.0,10.0,0.0,0.58,"2021,2022,2024","0.0,1.0,0.0",,
阿坝藏族羌族自治州,2024,0.0,0.0,10.0,低风险,无预警,0.0,0.0,10.0,-0.02,0.11,"2022,2023,2024","0.04,0.06,0.0",,
湘潭市,2024,18.0,0.02,9.58,低风险,无预警,5.76,0.0,3.83,-0.05,0.04,"2022,2023,2024","0.11,0.09,0.02",,
福州市,2024,517.0,0.02,9.49,低风险,无预警,5.82,0.0,3.67,-0.03,0.04,"2022,2023,2024","0.07,0.05,0.02",,
邢台市,2024,31.0,0.02,9.47,低风险,无预警,6.68,0.0,2.8,-0.03,0.03,"2022,2023,2024","0.08,0.1,0.02",,
咸阳市,2024,65.0,0.01,9.36,低风险,无预警,3.62,0.0,5.74,-0.05,0.06,"2022,2023,2024","0.1,0.06,0.01",,
渭南市,2024,19.0,0.01,9.33,低风险,无预警,3.06,0.0,6.27,-0.03,0.06,"2022,2023,2024","0.07,0.05,0.01",,
绵阳市,2024,57.0,0.01,9.13,低风险,无预警,4.33,0.0,4.8,-0.03,0.05,"2022,2023,2024","0.08,0.09,0.01",,
衡阳市,2024,25.0,0.01,9.03,低风险,无预警,3.47,0.0,5.56,-0.06,0.06,"2022,2023,2024","0.14,0.08,0.01",,
迪庆藏族自治州,2024,2.0,0.02,8.95,低风险,无预警,5.17,0.0,3.78,-0.04,0.04,"2022,2023,2024","0.1,0.03,0.02",,
普洱市,2024,8.0,0.02,8.84,低风险,无预警,5.87,0.0,2.97,-0.01,0.03,"2022,2023,2024","0.04,0.06,0.02",,
安康市,2024,13.0,0.02,8.78,低风险,无预警,4.59,0.0,4.19,-0.04,0.04,"2022,2023,2024","0.1,0.07,0.02",,
延安市,2024,18.0,0.02,8.78,低风险,无预警,5.18,0.0,3.59,-0.03,0.04,"2022,2023,2024","0.07,0.05,0.02",,
凉山彝族自治州,2024,12.0,0.01,8.73,低风险,无预警,4.29,0.0,4.44,-0.03,0.04,"2022,2023,2024","0.06,0.02,0.01",,
邵阳市,2024,20.0,0.02,8.44,低风险,无预警,5.06,0.0,3.38,-0.05,0.03,"2022,2023,2024","0.11,0.06,0.02",,
丽江市,2024,4.0,0.01,7.92,低风险,无预警,3.05,0.0,4.88,-0.05,0.05,"2022,2023,2024","0.12,0.07,0.01",,
榆林市,2024,40.0,0.01,7.42,低风险,无预警,4.37,0.0,3.06,-0.02,0.03,"2022,2023,2024","0.05,0.05,0.01",,
怀化市,2024,9.0,0.01,6.82,低风险,无预警,3.03,0.0,3.8,-0.05,0.04,"2022,2023,2024","0.12,0.07,0.01",,
西安市,2024,797.0,0.01,6.71,低风险,无预警,3.84,0.0,2.87,-0.03,0.03,"2022,2023,2024","0.08,0.05,0.01",,
攀枝花市,2024,4.0,0.01,6.66,低风险,无预警,2.93,0.0,3.73,-0.03,0.04,"2022,2023,2024","0.06,0.04,0.01",,
宝鸡市,2024,46.0,0.01,6.47,低风险,无预警,3.93,0.0,2.54,-0.02,0.03,"2022,2023,2024","0.06,0.05,0.01",,
甘孜藏族自治州,2024,0.0,0.0,3.55,低风险,无预警,0.0,0.0,3.55,-0.03,0.04,"2022,2023,2024","0.05,0.03,0.0",,
阿里地区,2024,0.0,0.0,0.0,低风险,无预警,0.0,0.0,0.0,0.0,0.0,"2022,2023,2024","0.0,0.0,0.0",,
那曲市,2024,0.0,0.0,0.0,低风险,无预警,0.0,0.0,0.0,0.0,0.0,"2022,2023,2024","0.0,0.0,0.0",,
