城市,聚类,2024_增长率,2025_增长率,2026_增长率,2027_增长率,2028_增长率,2029_增长率,2030_增长率
七台河市,0,0.2391,0.193,0.1618,0.1392,0.1222,0.1089,0.0982
三亚市,0,0.2343,0.1884,0.1586,0.1369,0.1203,0.1075,0.097
三明市,0,0.159,0.1579,0.1369,0.1199,0.1071,0.0967,0.0885
三门峡市,0,0.1921,0.1822,0.1554,0.1334,0.1187,0.1052,0.096
上海市,2,0.2586,0.2058,0.1706,0.1458,0.1272,0.1129,0.1014
上饶市,0,0.1807,0.174,0.1482,0.1291,0.1143,0.1026,0.0931
东莞市,1,0.2348,0.1922,0.1612,0.1388,0.1219,0.1086,0.098
东营市,0,0.2105,0.1736,0.1482,0.1291,0.1141,0.1026,0.0931
中卫市,0,0.2172,0.166,0.1459,0.1242,0.1105,0.0995,0.0905
中山市,0,0.2333,0.1902,0.1598,0.1378,0.1212,0.108,0.0975
临汾市,0,0.2458,0.1973,0.1648,0.1415,0.1239,0.1103,0.0993
临沂市,0,0.2146,0.1748,0.1489,0.1295,0.1147,0.1029,0.0933
临沧市,0,0.2971,0.229,0.1864,0.1571,0.1358,0.1195,0.1068
丹东市,0,0.1809,0.1477,0.1303,0.1153,0.1021,0.0938,0.0857
丽水市,0,0.2008,0.165,0.1421,0.124,0.1107,0.0993,0.0904
丽江市,0,0.3028,0.2324,0.1886,0.1587,0.1369,0.1204,0.1075
乌兰察布市,0,0.3032,0.2327,0.1887,0.1588,0.1382,0.1204,0.1074
乌海市,0,0.2837,0.2322,0.1854,0.1564,0.1375,0.1189,0.1063
乌鲁木齐市,0,0.1636,0.1641,0.1409,0.1236,0.1099,0.0991,0.0901
乐山市,0,0.2989,0.2301,0.1871,0.1576,0.1361,0.1198,0.107
九江市,0,0.2702,0.2082,0.1723,0.147,0.1283,0.1136,0.102
云浮市,0,0.1853,0.174,0.1482,0.1291,0.1143,0.1043,0.0929
亳州市,0,0.2195,0.1792,0.152,0.1314,0.1166,0.1044,0.0946
伊春市,0,0.314,0.2389,0.1929,0.1617,0.1392,0.1222,0.1089
佛山市,1,0.1952,0.1756,0.1494,0.13,0.115,0.1032,0.0935
佳木斯市,0,0.3811,0.2759,0.2163,0.1778,0.151,0.1312,0.116
保定市,0,0.4643,0.3181,0.2413,0.1944,0.1628,0.1401,0.1228
保山市,0,0.3803,0.2755,0.216,0.1776,0.1508,0.1311,0.1159
信阳市,0,0.2333,0.196,0.1644,0.1408,0.1234,0.1098,0.099
儋州市,0,0.2046,0.1689,0.1448,0.1265,0.1123,0.1009,0.0917
克拉玛依市,0,0.1767,0.1562,0.1351,0.119,0.1063,0.0961,0.0877
六安市,0,0.2833,0.2203,0.1806,0.1532,0.1326,0.1171,0.105
六盘水市,0,0.3544,0.2617,0.2074,0.1718,0.1466,0.1278,0.1134
兰州市,0,0.2571,0.2082,0.1724,0.147,0.1282,0.1136,0.102
内江市,0,0.244,0.1961,0.164,0.1409,0.1235,0.1099,0.099
包头市,0,0.24,0.1958,0.1633,0.1404,0.1231,0.1099,0.0987
北京市,2,0.3261,0.2461,0.1975,0.1649,0.1416,0.124,0.1103
北海市,0,0.226,0.1671,0.1424,0.1247,0.1114,0.0997,0.0912
十堰市,0,0.2567,0.2088,0.1727,0.1473,0.1284,0.1138,0.1022
南京市,1,0.1637,0.1472,0.1284,0.1137,0.1021,0.0927,0.0848
南充市,0,0.1806,0.153,0.1327,0.1172,0.1049,0.0949,0.0867
南宁市,0,0.1916,0.1652,0.1418,0.1242,0.1104,0.0995,0.0905
南平市,0,0.2591,0.2058,0.1707,0.1458,0.1272,0.1129,0.1014
南昌市,0,0.2004,0.17,0.1453,0.1269,0.1126,0.1012,0.0919
南通市,0,0.1795,0.1746,0.1485,0.1293,0.1145,0.1028,0.0932
南阳市,0,0.2934,0.232,0.1881,0.1583,0.1367,0.1202,0.1075
厦门市,1,0.1469,0.1299,0.115,0.1032,0.0935,0.0855,0.0788
双鸭山市,0,0.4526,0.3116,0.2376,0.192,0.161,0.1387,0.1218
台州市,0,0.209,0.1662,0.1425,0.1249,0.1109,0.0998,0.0909
合肥市,1,0.2232,0.1823,0.1542,0.1336,0.1178,0.1054,0.0954
吉安市,0,0.2067,0.1738,0.1476,0.129,0.1139,0.1026,0.093
吉林市,0,0.2176,0.1841,0.1555,0.1346,0.1186,0.106,0.0959
吕梁市,0,0.1991,0.1801,0.1526,0.1333,0.1168,0.1046,0.0947
吴忠市,0,0.1706,0.1457,0.1272,0.1128,0.1014,0.0921,0.0843
周口市,0,0.2906,0.2354,0.1906,0.1601,0.138,0.1212,0.1081
呼伦贝尔市,0,0.2436,0.1959,0.1638,0.1407,0.1234,0.1098,0.099
呼和浩特市,0,0.2637,0.2087,0.1726,0.1474,0.1283,0.1137,0.1022
咸宁市,0,0.2868,0.2265,0.1847,0.1559,0.1349,0.1188,0.1062
咸阳市,0,0.5955,0.3745,0.2726,0.2141,0.1764,0.1499,0.1304
哈尔滨市,0,0.2207,0.1849,0.156,0.135,0.1189,0.1063,0.096
唐山市,0,0.3342,0.2533,0.2021,0.1679,0.144,0.1259,0.1118
商丘市,0,0.2873,0.235,0.1898,0.1599,0.1375,0.1209,0.1081
商洛市,0,0.1673,0.1776,0.1481,0.1313,0.1141,0.1024,0.0945
嘉兴市,0,0.1884,0.1585,0.1368,0.1203,0.1074,0.097,0.0884
嘉峪关市,0,0.2329,0.1889,0.162,0.1367,0.1203,0.1095,0.0968
四平市,0,0.1992,0.1661,0.1425,0.1247,0.1109,0.0998,0.0908
固原市,0,0.1864,0.1571,0.1358,0.1195,0.1068,0.0965,0.088
大同市,0,0.2199,0.1803,0.1527,0.1325,0.117,0.1047,0.0948
大庆市,0,0.2844,0.2222,0.1818,0.1538,0.1333,0.1176,0.1049
大连市,0,0.2024,0.1681,0.1439,0.1258,0.1118,0.1005,0.0913
天水市,0,0.2291,0.1864,0.1571,0.1358,0.1195,0.1068,0.0965
天津市,1,0.202,0.1681,0.1439,0.1258,0.1117,0.1005,0.0913
太原市,0,0.2383,0.1925,0.1614,0.139,0.122,0.1087,0.0981
威海市,0,0.1903,0.168,0.1439,0.126,0.1117,0.1005,0.0913
娄底市,0,0.3076,0.2352,0.1904,0.16,0.1379,0.1212,0.1081
孝感市,0,0.2557,0.2109,0.1742,0.1483,0.1292,0.1144,0.1027
宁德市,0,0.166,0.1424,0.1243,0.1108,0.0998,0.0907,0.083
宁波市,1,0.2031,0.1569,0.1355,0.1194,0.1066,0.0964,0.0879
安庆市,0,0.2841,0.2242,0.1832,0.1545,0.1341,0.118,0.1058
安康市,0,0.1664,0.1624,0.1397,0.1235,0.1091,0.0984,0.0902
安阳市,0,0.2821,0.224,0.1826,0.1544,0.134,0.1179,0.1055
安顺市,0,0.2886,0.2239,0.183,0.1547,0.134,0.1181,0.1056
定西市,0,0.2993,0.2304,0.1872,0.1577,0.1362,0.1199,0.1071
宜宾市,0,0.2664,0.2104,0.1738,0.1481,0.129,0.1142,0.1025
宜昌市,0,0.3514,0.2617,0.2077,0.1718,0.1467,0.1278,0.1135
宜春市,0,0.2178,0.1774,0.1507,0.1312,0.1158,0.1037,0.0942
宝鸡市,0,0.3354,0.2512,0.2009,0.1672,0.1432,0.1253,0.1113
宣城市,0,0.2695,0.2247,0.1826,0.1552,0.1343,0.1178,0.1059
宿州市,0,0.3264,0.2499,0.1999,0.1666,0.1428,0.1247,0.1111
宿迁市,0,0.1985,0.1699,0.1452,0.1268,0.1125,0.1011,0.0917
岳阳市,0,0.3033,0.2348,0.1902,0.1598,0.1378,0.1211,0.108
崇左市,0,0.1919,0.1641,0.141,0.1235,0.11,0.0991,0.0901
巴中市,0,0.2211,0.1811,0.1533,0.1329,0.1173,0.105,0.095
巴彦淖尔市,0,0.2665,0.2104,0.1738,0.1481,0.129,0.1142,0.1025
常州市,0,0.1855,0.1645,0.1412,0.1239,0.1101,0.0992,0.0903
常德市,0,0.3166,0.2405,0.1938,0.1624,0.1397,0.1226,0.1092
平凉市,0,0.2184,0.1916,0.1622,0.1383,0.1226,0.1082,0.0977
平顶山市,0,0.2955,0.2309,0.1882,0.1584,0.1367,0.1203,0.1074
广元市,0,0.2004,0.1669,0.1431,0.1252,0.1112,0.1001,0.091
广安市,0,0.1832,0.1601,0.1396,0.1211,0.108,0.0986,0.0888
广州市,1,0.1099,0.0994,0.0904,0.0829,0.0766,0.0711,0.0664
庆阳市,0,0.298,0.2296,0.1867,0.1573,0.136,0.1197,0.1069
廊坊市,0,0.4501,0.3108,0.2374,0.1918,0.161,0.1385,0.1218
延安市,0,0.1522,0.161,0.1396,0.1217,0.1085,0.0985,0.0891
开封市,0,0.2761,0.2169,0.1787,0.1516,0.1313,0.1164,0.1042
张家口市,0,0.4447,0.3091,0.2356,0.1911,0.1604,0.138,0.1215
张家界市,0,0.3243,0.2449,0.1967,0.1644,0.1412,0.1237,0.1101
张掖市,0,0.2742,0.2152,0.1771,0.1505,0.1308,0.1157,0.1037
徐州市,0,0.213,0.17,0.1454,0.1268,0.1126,0.1012,0.0919
德州市,0,0.2272,0.186,0.1568,0.1356,0.1194,0.1067,0.0964
德阳市,0,0.2197,0.1801,0.1526,0.1324,0.1169,0.1047,0.0948
忻州市,0,0.2521,0.2013,0.1676,0.1435,0.1255,0.1115,0.1003
怀化市,0,0.3476,0.2568,0.2052,0.1703,0.1449,0.1271,0.1128
惠州市,0,0.2327,0.1878,0.158,0.1366,0.1201,0.1072,0.0969
成都市,1,0.2969,0.2292,0.1865,0.1572,0.1358,0.1196,0.1068
扬州市,0,0.1942,0.1628,0.1398,0.1227,0.1093,0.0986,0.0897
承德市,0,0.4408,0.306,0.2343,0.1898,0.1595,0.1376,0.1209
抚州市,0,0.2312,0.1878,0.1581,0.1365,0.1201,0.1072,0.0969
抚顺市,0,0.2486,0.1695,0.1459,0.1265,0.113,0.1009,0.0923
揭阳市,0,0.2299,0.2092,0.1742,0.1473,0.1284,0.1146,0.1021
攀枝花市,0,0.1724,0.152,0.1319,0.1147,0.1046,0.0947,0.0865
新乡市,0,0.1849,0.178,0.1515,0.1312,0.1163,0.1039,0.0941
新余市,0,0.1873,0.172,0.1478,0.1287,0.1133,0.1025,0.0929
无锡市,0,0.179,0.1621,0.1395,0.1224,0.1091,0.0983,0.0895
日照市,0,0.2229,0.1823,0.1542,0.1336,0.1178,0.1054,0.0954
昆明市,0,0.4824,0.3264,0.2461,0.1975,0.1649,0.1416,0.124
昭通市,0,0.3044,0.2334,0.1892,0.1591,0.1373,0.1207,0.1077
晋中市,0,0.1787,0.1746,0.1486,0.1294,0.1151,0.1027,0.0932
晋城市,0,0.2651,0.2095,0.1732,0.1477,0.1287,0.114,0.1023
普洱市,0,0.3741,0.2723,0.214,0.1763,0.1499,0.1303,0.1153
景德镇市,0,0.1754,0.1715,0.1479,0.1276,0.1131,0.1016,0.0923
曲靖市,0,0.3492,0.258,0.2057,0.1706,0.1458,0.1272,0.1129
朔州市,0,0.3117,0.2376,0.192,0.1611,0.1387,0.1218,0.1086
朝阳市,0,0.2117,0.1671,0.1443,0.1251,0.1121,0.1008,0.0908
本溪市,0,0.1818,0.15,0.1304,0.1154,0.1008,0.094,0.0859
来宾市,0,0.1906,0.1629,0.1377,0.121,0.108,0.0991,0.0886
杭州市,1,0.1744,0.1603,0.1382,0.1214,0.1083,0.0977,0.089
松原市,0,0.1654,0.1616,0.1391,0.1221,0.1088,0.0981,0.0894
枣庄市,0,0.1989,0.1749,0.1486,0.1294,0.1148,0.1028,0.0932
柳州市,0,0.2035,0.1574,0.136,0.1197,0.1069,0.0966,0.0881
株洲市,0,0.3244,0.2459,0.1974,0.1648,0.1412,0.124,0.1103
桂林市,0,0.1971,0.161,0.1383,0.1218,0.1086,0.098,0.0892
梅州市,0,0.2447,0.1966,0.1643,0.1411,0.1237,0.11,0.0991
梧州市,0,0.2536,0.1718,0.1466,0.1278,0.1134,0.1018,0.0924
榆林市,0,0.2314,0.1964,0.1642,0.141,0.1236,0.11,0.0991
武威市,0,0.2391,0.1952,0.1651,0.1417,0.1228,0.1106,0.0996
武汉市,1,0.3022,0.2324,0.1886,0.1586,0.1369,0.1204,0.1075
毕节市,0,0.3897,0.2804,0.219,0.1797,0.1523,0.1322,0.1167
永州市,0,0.3304,0.2483,0.1989,0.1667,0.1422,0.1245,0.1107
汉中市,0,0.2359,0.1908,0.1603,0.1381,0.1214,0.1082,0.0977
汕头市,0,0.2106,0.18,0.152,0.132,0.1166,0.1047,0.0945
汕尾市,0,0.249,0.1994,0.1662,0.1425,0.1248,0.1109,0.0998
江门市,0,0.2393,0.2013,0.1676,0.1432,0.1256,0.1116,0.1004
池州市,0,0.1794,0.1785,0.1515,0.1315,0.1162,0.1053,0.0942
沈阳市,0,0.1725,0.1621,0.1395,0.1224,0.109,0.0983,0.0895
沧州市,0,0.4091,0.2903,0.225,0.1837,0.1552,0.1343,0.1184
河池市,0,0.1985,0.1656,0.1421,0.1244,0.1106,0.0996,0.0894
河源市,0,0.2017,0.1627,0.1399,0.1227,0.1093,0.0985,0.0897
泉州市,0,0.2252,0.1884,0.1584,0.1369,0.1203,0.1075,0.097
泰安市,0,0.2451,0.1992,0.1659,0.1425,0.1247,0.1108,0.0998
泰州市,0,0.1945,0.1666,0.1425,0.1247,0.1109,0.1,0.0908
泸州市,0,0.1924,0.1621,0.1388,0.1219,0.1087,0.0985,0.0892
洛阳市,0,0.1677,0.1738,0.1483,0.129,0.1144,0.1025,0.0931
济南市,1,0.1836,0.1643,0.1411,0.1237,0.1101,0.0991,0.0902
济宁市,0,0.1924,0.1665,0.1427,0.1248,0.111,0.0999,0.0909
海东市,0,0.2488,0.1686,0.141,0.1236,0.1125,0.0989,0.0921
海口市,0,0.2693,0.2183,0.1792,0.152,0.1319,0.1165,0.1044
淄博市,0,0.1866,0.1671,0.1432,0.1253,0.1112,0.1002,0.0911
淮北市,0,0.2643,0.2091,0.1729,0.1474,0.1285,0.1138,0.1022
淮南市,0,0.3188,0.2444,0.1964,0.1642,0.141,0.1236,0.11
淮安市,0,0.2447,0.1993,0.1662,0.1425,0.1247,0.1109,0.0997
深圳市,2,0.2544,0.203,0.1687,0.1444,0.1262,0.112,0.1007
清远市,0,0.2836,0.2209,0.1809,0.1532,0.1329,0.1173,0.105
温州市,0,0.1817,0.1604,0.1382,0.1215,0.1084,0.0977,0.089
渭南市,0,0.186,0.1563,0.1351,0.1191,0.1068,0.0961,0.0877
湖州市,0,0.2187,0.1681,0.1439,0.126,0.1117,0.1005,0.0913
湘潭市,0,0.2882,0.2237,0.1828,0.1546,0.1339,0.1181,0.1056
湛江市,0,0.2367,0.1914,0.1611,0.1383,0.1215,0.1084,0.098
滁州市,0,0.2816,0.2203,0.1805,0.1529,0.1326,0.1171,0.1048
滨州市,0,0.2545,0.2049,0.1701,0.1453,0.1267,0.1126,0.1012
漯河市,0,0.141,0.175,0.149,0.1287,0.1149,0.103,0.0934
漳州市,0,0.1752,0.1491,0.13,0.1148,0.103,0.0934,0.0854
潍坊市,0,0.2308,0.1875,0.158,0.1364,0.12,0.1072,0.0968
潮州市,0,0.1945,0.1811,0.1534,0.133,0.1174,0.105,0.095
濮阳市,0,0.2907,0.2393,0.1931,0.1618,0.1393,0.1223,0.1089
烟台市,0,0.1661,0.1691,0.1445,0.1264,0.1122,0.1008,0.0916
焦作市,0,0.1749,0.179,0.1518,0.1318,0.1165,0.1043,0.0945
牡丹江市,0,0.2785,0.2179,0.1789,0.1517,0.1317,0.1164,0.1043
玉林市,0,0.1951,0.1701,0.1454,0.1269,0.1126,0.1012,0.0919
玉溪市,0,0.3757,0.2731,0.2145,0.1766,0.1501,0.1305,0.1155
珠海市,0,0.1435,0.1385,0.1216,0.1085,0.0978,0.0892,0.0818
白城市,0,0.2,0.1667,0.1429,0.125,0.1111,0.1,0.0909
白山市,0,0.2143,0.1765,0.15,0.1304,0.1154,0.1034,0.0938
白银市,0,0.1467,0.1635,0.1385,0.1234,0.1099,0.099,0.0901
百色市,0,0.2309,0.1669,0.1431,0.1251,0.1112,0.0991,0.0911
益阳市,0,0.2782,0.2176,0.1787,0.1516,0.1317,0.1163,0.1042
盐城市,0,0.1945,0.1686,0.1443,0.1259,0.112,0.1006,0.0915
盘锦市,0,0.1892,0.1591,0.1357,0.1195,0.1068,0.0965,0.089
眉山市,0,0.1727,0.1718,0.1466,0.1279,0.1134,0.1018,0.0924
石嘴山市,0,0.203,0.1477,0.1287,0.114,0.1023,0.0928,0.085
石家庄市,0,0.3863,0.2795,0.2183,0.1793,0.152,0.1319,0.1166
福州市,1,0.1325,0.1227,0.1093,0.0986,0.0897,0.0823,0.0761
秦皇岛市,0,0.4131,0.2924,0.2262,0.1845,0.1558,0.1348,0.1188
绍兴市,0,0.216,0.1634,0.1405,0.123,0.1097,0.0988,0.09
绥化市,0,0.3384,0.2528,0.2018,0.1679,0.1438,0.1257,0.1117
绵阳市,0,0.2406,0.1963,0.1641,0.1408,0.1236,0.1098,0.0991
聊城市,0,0.2146,0.1695,0.1449,0.1266,0.1125,0.101,0.0917
肇庆市,0,0.3001,0.2308,0.1875,0.1579,0.1364,0.12,0.1072
自贡市,0,0.1946,0.1742,0.1471,0.1283,0.1146,0.102,0.0933
舟山市,0,0.2155,0.1638,0.1407,0.1234,0.1105,0.0989,0.09
芜湖市,0,0.2479,0.2001,0.1669,0.143,0.125,0.1112,0.1001
苏州市,1,0.1664,0.1458,0.1272,0.1129,0.1014,0.0921,0.0843
茂名市,0,0.2531,0.202,0.1681,0.1439,0.1258,0.1117,0.1005
荆州市,0,0.3308,0.2498,0.2004,0.1665,0.1428,0.1252,0.111
荆门市,0,0.2838,0.2273,0.1852,0.1562,0.1351,0.119,0.1064
莆田市,0,0.1513,0.1708,0.1456,0.1273,0.1129,0.1015,0.0921
菏泽市,0,0.2068,0.1899,0.1596,0.1375,0.121,0.1079,0.0973
萍乡市,0,0.405,0.168,0.1438,0.1258,0.1117,0.1005,0.0913
营口市,0,0.2668,0.1612,0.1378,0.1211,0.1088,0.0974,0.0894
葫芦岛市,0,0.1912,0.1605,0.1383,0.1215,0.1083,0.0978,0.089
蚌埠市,0,0.3105,0.2369,0.1915,0.1607,0.1385,0.1216,0.1084
衡水市,0,0.4132,0.2924,0.2262,0.1845,0.1558,0.1348,0.1188
衡阳市,0,0.4701,0.3206,0.2428,0.1951,0.1634,0.1405,0.1232
衢州市,0,0.2015,0.1663,0.1426,0.1243,0.111,0.0999,0.0905
襄阳市,0,0.3532,0.2629,0.2082,0.1721,0.147,0.1282,0.1136
西宁市,0,0.1883,0.16,0.1379,0.1215,0.1081,0.0975,0.0889
西安市,1,0.1439,0.1261,0.112,0.1007,0.0915,0.0838,0.0773
许昌市,0,0.1815,0.1797,0.1529,0.1326,0.1171,0.1048,0.0949
贵港市,0,0.1962,0.156,0.1349,0.1199,0.1062,0.096,0.0883
贵阳市,0,0.246,0.203,0.1687,0.1444,0.1262,0.112,0.1007
贺州市,0,0.2167,0.17,0.1471,0.1282,0.1136,0.102,0.0915
资阳市,0,0.1656,0.1716,0.1465,0.1277,0.1133,0.1017,0.0924
赣州市,0,0.1929,0.1743,0.1484,0.1292,0.1146,0.1027,0.0931
赤峰市,0,0.2877,0.2234,0.1826,0.1544,0.1338,0.118,0.1055
辽源市,0,0.1545,0.1575,0.1293,0.1205,0.1075,0.0971,0.0885
辽阳市,0,0.2308,0.1438,0.1284,0.1138,0.1022,0.0927,0.083
达州市,0,0.2525,0.2016,0.1678,0.1437,0.1256,0.1116,0.1004
运城市,0,0.2858,0.222,0.1819,0.1539,0.1332,0.1177,0.1052
连云港市,0,0.2105,0.171,0.1457,0.1275,0.113,0.1016,0.092
通化市,0,0.1548,0.1546,0.1339,0.1207,0.1054,0.0953,0.087
通辽市,0,0.1777,0.1686,0.1443,0.1261,0.112,0.1007,0.0915
遂宁市,0,0.2347,0.1901,0.1597,0.1377,0.121,0.108,0.0975
遵义市,0,0.3553,0.2621,0.2077,0.172,0.1467,0.1282,0.1134
邢台市,0,0.5115,0.3384,0.2528,0.2018,0.1679,0.1438,0.1257
邯郸市,0,0.4943,0.3321,0.2493,0.1996,0.1664,0.1426,0.1248
邵阳市,0,0.3728,0.2734,0.2147,0.1767,0.1502,0.1306,0.1155
郑州市,1,0.2356,0.1918,0.1609,0.1386,0.1217,0.1085,0.0979
郴州市,0,0.3291,0.2476,0.1991,0.1655,0.142,0.1247,0.1106
鄂尔多斯市,0,0.2517,0.2005,0.1675,0.1434,0.1255,0.1112,0.1003
鄂州市,0,0.2523,0.2106,0.174,0.1469,0.1292,0.1144,0.1018
酒泉市,0,0.2214,0.1812,0.1534,0.133,0.1174,0.1051,0.0951
重庆市,1,0.205,0.1701,0.1454,0.1269,0.1126,0.1012,0.0919
金华市,0,0.2233,0.1625,0.1398,0.1227,0.1092,0.0985,0.0897
金昌市,0,0.1864,0.1571,0.1358,0.1196,0.1068,0.0965,0.088
钦州市,0,0.2776,0.2038,0.169,0.1448,0.1263,0.1123,0.101
铁岭市,0,0.2007,0.1672,0.1406,0.1256,0.1116,0.1004,0.0896
铜仁市,0,0.2945,0.2275,0.1853,0.1564,0.1352,0.1191,0.1064
铜川市,0,0.1757,0.163,0.1379,0.1211,0.1099,0.0974,0.0902
铜陵市,0,0.3665,0.2697,0.2135,0.175,0.149,0.1303,0.1147
银川市,0,0.1935,0.1589,0.1369,0.1206,0.1076,0.0971,0.0884
锦州市,0,0.1809,0.1667,0.1416,0.1251,0.1102,0.1002,0.0902
镇江市,0,0.2074,0.1646,0.1414,0.1239,0.1102,0.0991,0.0903
长春市,0,0.1743,0.1545,0.1338,0.118,0.1056,0.0955,0.0872
长沙市,1,0.3173,0.2419,0.1948,0.163,0.1402,0.1229,0.1095
长治市,0,0.2504,0.2003,0.1668,0.143,0.1251,0.1112,0.1001
阜新市,0,0.1786,0.1653,0.1395,0.1224,0.1091,0.1,0.0894
阜阳市,0,0.3238,0.2449,0.1967,0.1646,0.1412,0.1237,0.1101
防城港市,0,0.1906,0.1773,0.1485,0.1311,0.1159,0.1025,0.0942
阳江市,0,0.2978,0.2295,0.1867,0.1573,0.1359,0.1197,0.1069
阳泉市,0,0.4648,0.3352,0.2511,0.2007,0.1671,0.1436,0.1252
陇南市,0,0.2732,0.2146,0.1767,0.1502,0.1305,0.1155,0.1035
随州市,0,0.1697,0.1643,0.1426,0.1235,0.1111,0.0989,0.091
雅安市,0,0.2527,0.2017,0.1678,0.1437,0.1257,0.1116,0.1004
青岛市,1,0.2084,0.1609,0.1386,0.1217,0.1085,0.0979,0.0892
鞍山市,0,0.2247,0.1491,0.1298,0.1149,0.103,0.0934,0.0854
韶关市,0,0.1754,0.1635,0.1405,0.1232,0.1097,0.0988,0.0899
马鞍山市,0,0.2019,0.1602,0.1388,0.1219,0.1087,0.098,0.0893
驻马店市,0,0.2779,0.2263,0.1839,0.1559,0.1349,0.1188,0.1062
鸡西市,0,0.2188,0.1795,0.1522,0.1321,0.1167,0.1045,0.0946
鹤壁市,0,0.1773,0.1765,0.149,0.1306,0.1155,0.1035,0.0938
鹤岗市,0,0.3071,0.241,0.1893,0.1592,0.1408,0.1204,0.1074
鹰潭市,0,0.2669,0.2107,0.174,0.1482,0.1291,0.1143,0.1026
黄冈市,0,0.2992,0.2303,0.1872,0.1577,0.1362,0.1199,0.107
黄山市,0,0.315,0.2376,0.1935,0.1622,0.1395,0.1224,0.1091
黄石市,0,0.1586,0.1758,0.1503,0.13,0.1156,0.1031,0.0939
黑河市,0,0.25,0.2,0.1667,0.1429,0.125,0.1111,0.1
齐齐哈尔市,0,0.3237,0.2446,0.1965,0.1642,0.1411,0.1236,0.11
龙岩市,0,0.1893,0.1592,0.137,0.1208,0.1078,0.0973,0.0885
